model,accuracy,precision,recall,roc_auc
Logistic Regression,0.7409697364139277,0.6239663819981022,0.7923911172318816,0.8502468276265643
Random Forest,0.822128213472177,0.75701871657754,0.7798244103976588,0.8948549457147117
